delever: the census describes another tree (stamp edd0ed12e734c92d); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte2: 244 files of 468 with work (400 done) — 960 definitions, 240 direct statements
05:59:01   src/ov_SC03_118/ov_SC03_118_jr_801863CC.c: CONSOLIDATED — deleted 4 defs, renamed 2, use renames 8, direct calls 0, direct levers 0, unmatched 0, marked 6
05:59:01   src/ov_SC02_039/ov_SC02_039_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC03_001/ov_SC03_001_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:01   src/ov_SC02_037/ov_SC02_037_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC02_041/ov_SC02_041_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_006/ov_SC03_006_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_003/ov_SC03_003_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_010/ov_SC03_010_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_011/ov_SC03_011_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_002/ov_SC03_002_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_007/ov_SC03_007_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_012/ov_SC03_012_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_023/ov_SC03_023_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_024/ov_SC03_024_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_013/ov_SC03_013_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_014/ov_SC03_014_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_092/ov_SC03_092_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_030/ov_SC03_030_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_028/ov_SC03_028_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_031/ov_SC03_031_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_029/ov_SC03_029_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_090/ov_SC03_090_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_089/ov_SC03_089_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:02   src/ov_SC03_091/ov_SC03_091_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_094/ov_SC03_094_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_093/ov_SC03_093_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_095/ov_SC03_095_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_096/ov_SC03_096_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_097/ov_SC03_097_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_103/ov_SC03_103_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_098/ov_SC03_098_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_099/ov_SC03_099_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_100/ov_SC03_100_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_102/ov_SC03_102_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_101/ov_SC03_101_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:59:03   src/ov_SC03_104/ov_SC03_104_jr_8013C98C.c: CONSOLIDATED — deleted 5 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
